SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,HasGarage,HasPool,DistanceToCityCenter,Price
2100,3,2,Suburban,2005,1,0,12.5,345000
1650,2,1.5,Urban,1998,0,0,4.2,285000
3200,4,3,Suburban,2018,1,1,15.8,590000
1200,2,1,Urban,1985,0,0,2.1,230000
2800,4,2.5,Rural,2010,1,0,25.4,410000
1950,3,2,Suburban,2002,1,0,11.0,320000
3600,5,4,Suburban,2021,1,1,14.2,680000
1400,2,1,Rural,1979,1,0,30.5,195000
2400,3,2.5,Urban,2015,1,0,6.7,460000
1800,3,2,Suburban,1995,1,0,13.4,295000
2250,3,2,Urban,2008,1,0,5.1,415000
3100,4,3,Rural,2017,1,1,22.0,510000
1550,2,1.5,Suburban,1990,0,0,10.8,260000
4100,5,4.5,Suburban,2022,1,1,16.5,790000
1300,2,1,Urban,1980,0,0,3.5,245000
2700,4,2.5,Suburban,2012,1,0,12.0,475000
1900,3,2,Rural,2000,1,0,28.1,270000
3400,4,3.5,Urban,2019,1,1,7.2,625000
1750,3,1.5,Suburban,1992,1,0,14.5,280000
2950,4,3,Suburban,2016,1,1,13.0,530000
2150,3,2,Urban,2004,1,0,5.8,385000
1450,2,1,Suburban,1988,0,0,11.2,250000
3800,5,4,Suburban,2020,1,1,15.0,720000
1100,1,1,Urban,1975,0,0,1.8,210000
2600,3,2.5,Rural,2011,1,0,24.0,390000
